iter	Passed	Remaining
0	55	55227
1	56	28038
2	57	18965
3	57	14410
4	58	11684
5	59	9860
6	60	8563
7	61	7585
8	62	6869
9	63	6243
10	64	5794
11	65	5395
12	66	5061
13	67	4763
14	68	4499
15	69	4261
16	70	4065
17	70	3866
18	71	3687
19	71	3523
20	72	3372
21	72	3238
22	73	3115
23	73	3002
24	74	2907
25	75	2810
26	75	2718
27	76	2639
28	76	2563
29	77	2490
30	77	2420
31	77	2354
32	78	2293
33	78	2240
34	79	2195
35	80	2150
36	80	2102
37	81	2055
38	81	2014
39	82	1980
40	83	1944
41	83	1905
42	83	1868
43	84	1833
44	84	1800
45	85	1770
46	85	1743
47	86	1713
48	86	1684
49	87	1659
50	87	1632
51	88	1606
52	88	1581
53	88	1557
54	89	1534
55	89	1511
56	90	1490
57	90	1469
58	91	1453
59	91	1434
60	91	1415
61	92	1397
62	93	1383
63	93	1367
64	93	1350
65	94	1335
66	94	1320
67	95	1305
68	95	1290
69	96	1277
70	96	1265
71	97	1253
72	97	1240
73	98	1228
74	98	1217
75	99	1206
76	99	1194
77	100	1182
78	100	1171
79	100	1160
80	101	1148
81	101	1139
82	101	1126
83	102	1117
84	102	1107
85	103	1101
86	104	1092
87	104	1083
88	105	1074
89	105	1066
90	105	1058
91	106	1049
92	106	1042
93	107	1035
94	108	1029
95	108	1022
96	108	1014
97	109	1009
98	110	1001
99	110	994
100	111	988
101	111	981
102	111	974
103	112	967
104	112	961
105	113	955
106	113	949
107	114	943
108	114	937
109	115	931
110	115	925
111	116	920
112	116	915
113	117	910
114	117	905
115	118	899
116	118	893
117	118	888
118	119	883
119	119	878
120	120	873
121	120	867
122	121	864
123	121	861
124	122	858
125	123	856
126	123	851
127	124	847
128	124	843
129	125	839
130	125	835
131	126	831
132	126	827
133	127	823
134	127	819
135	128	815
136	128	811
137	129	808
138	129	804
139	130	800
140	130	796
141	131	792
142	131	788
143	132	784
144	132	782
145	133	779
146	133	775
147	134	773
148	134	769
149	135	766
150	135	763
151	136	760
152	136	757
153	137	755
154	138	752
155	138	749
156	139	746
157	139	743
158	139	740
159	140	737
160	140	733
161	141	733
162	142	731
163	143	729
164	143	726
165	143	723
166	144	720
167	144	717
168	145	714
169	145	711
170	146	708
171	146	705
172	147	702
173	147	699
174	147	697
175	148	694
176	148	691
177	149	689
178	149	686
179	151	691
180	152	689
181	152	687
182	153	685
183	154	683
184	154	681
185	155	681
186	156	679
187	156	676
188	157	674
189	157	672
190	158	671
191	159	669
192	159	667
193	160	665
194	160	663
195	161	661
196	162	660
197	162	658
198	163	656
199	163	654
200	164	653
201	165	655
202	166	653
203	167	651
204	167	649
205	168	648
206	168	646
207	169	646
208	170	644
209	170	643
210	171	641
211	171	639
212	172	637
213	172	635
214	173	633
215	173	631
216	174	629
217	175	627
218	175	626
219	176	624
220	176	622
221	177	620
222	177	618
223	178	617
224	178	616
225	179	615
226	180	614
227	180	612
228	181	611
229	182	609
230	182	608
231	183	606
232	183	604
233	184	603
234	184	601
235	185	599
236	185	597
237	186	596
238	186	594
239	187	592
240	187	590
241	188	589
242	188	587
243	189	586
244	189	584
245	190	583
246	190	581
247	191	580
248	191	579
249	192	578
250	193	577
251	194	576
252	194	575
253	195	574
254	196	572
255	196	571
256	197	569
257	197	568
258	198	567
259	199	566
260	199	565
261	200	563
262	200	562
263	201	562
264	202	560
265	202	559
266	203	558
267	203	556
268	204	555
269	205	554
270	205	552
271	206	551
272	206	550
273	207	549
274	207	548
275	208	546
276	209	546
277	209	544
278	210	543
279	210	542
280	211	541
281	211	539
282	212	538
283	213	537
284	213	536
285	214	534
286	214	533
287	215	532
288	215	530
289	216	529
290	216	528
291	217	526
292	217	525
293	218	524
294	218	522
295	219	521
296	219	520
297	220	519
298	221	518
299	221	517
300	222	515
301	222	514
302	223	513
303	223	512
304	224	511
305	225	510
306	225	509
307	226	507
308	226	506
309	227	505
310	227	504
311	228	503
312	228	502
313	229	501
314	229	499
315	230	498
316	230	497
317	231	496
318	231	495
319	232	493
320	232	492
321	233	491
322	234	490
323	234	489
324	235	488
325	235	487
326	236	486
327	236	484
328	237	484
329	238	484
330	239	483
331	239	482
332	240	482
333	241	481
334	242	481
335	242	480
336	243	479
337	244	478
338	245	478
339	246	477
340	246	476
341	247	475
342	247	474
343	248	473
344	248	472
345	249	471
346	250	470
347	250	469
348	251	468
349	251	467
350	252	467
351	253	466
352	253	465
353	254	464
354	254	463
355	255	462
356	256	461
357	256	460
358	257	459
359	257	458
360	258	457
361	258	456
362	259	455
363	259	454
364	260	452
365	260	451
366	261	450
367	261	449
368	262	448
369	263	447
370	263	446
371	264	445
372	264	445
373	265	444
374	266	443
375	266	442
376	267	441
377	267	440
378	268	439
379	268	438
380	269	437
381	269	436
382	270	435
383	271	434
384	271	433
385	272	432
386	272	431
387	273	430
388	273	430
389	274	429
390	274	428
391	275	427
392	275	426
393	276	425
394	277	424
395	277	423
396	278	422
397	278	421
398	279	420
399	280	420
400	280	419
401	281	418
402	282	418
403	283	417
404	283	416
405	284	415
406	284	414
407	285	413
408	285	413
409	286	412
410	286	411
411	287	410
412	288	409
413	288	408
414	289	407
415	289	406
416	290	406
417	291	405
418	291	404
419	292	403
420	292	402
421	293	402
422	294	401
423	294	400
424	295	399
425	297	400
426	297	399
427	298	398
428	299	398
429	299	397
430	300	396
431	300	395
432	301	394
433	301	393
434	302	392
435	302	391
436	303	390
437	304	390
438	304	389
439	305	388
440	305	387
441	306	386
442	306	385
443	307	384
444	308	384
445	308	383
446	309	382
447	310	382
448	311	382
449	311	381
450	312	380
451	313	379
452	313	378
453	314	377
454	314	376
455	315	375
456	315	375
457	316	374
458	316	373
459	318	373
460	318	372
461	319	371
462	319	370
463	320	370
464	320	369
465	321	368
466	322	367
467	322	366
468	323	366
469	323	365
470	324	364
